;Data da Operação;Tipo Operação;Característica;Ativo;Corretora;Qtde;Preço (R$);Custo Médio (R$);Lucro/Perda (R$);%
26/04/2021;;Venda;Normal;CSNA3;BB-BI S.A.;2.700;49,83;49,05;;1,59 %
;;;;;;;;;2.114,30;
26/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.400;11,95;0,00;;0,00 %
;;;;;;;;;0,00;
27/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.400;12,13;11,95;;1,51 %
;;;;;;;;;2.064,01;
27/04/2021;;Compra;Normal;USIM5;BB-BI S.A.;6.000;23,09;0,00;;0,00 %
;;;;;;;;;0,00;
28/04/2021;;Compra;Normal;POSI3;BB-BI S.A.;12.400;11,06;0,00;;0,00 %
;;;;;;;;;0,00;
28/04/2021;;Venda;Normal;USIM5;BB-BI S.A.;6.000;22,77;23,10;;-1,38 %
;;;;;;;;;-1.922,17;
29/04/2021;;Venda;Normal;POSI3;BB-BI S.A.;12.400;11,23;11,06;;1,55 %
;;;;;;;;;2.129,44;
29/04/2021;;Compra;Normal;USIM5;BB-BI S.A.;6.100;22,92;0,00;;0,00 %
;;;;;;;;;0,00;
30/04/2021;;Venda;Normal;USIM5;BB-BI S.A.;6.100;22,35;22,93;;-2,48 %
;;;;;;;;;-3.481,47;
03/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;13.600;10,33;0,00;;0,00 %
;;;;;;;;;0,00;
04/05/2021;;Compra;Normal;BIDI4;BB-BI S.A.;1.900;72,01;0,00;;0,00 %
;;;;;;;;;0,00;
04/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;13.600;10,49;10,33;;1,57 %
;;;;;;;;;2.207,41;
05/05/2021;;Venda;Normal;BIDI4;BB-BI S.A.;1.900;72,74;72,02;;1,00 %
;;;;;;;;;1.379,88;
05/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;12.800;11,05;0,00;;0,00 %
;;;;;;;;;0,00;
06/05/2021;;Compra;Normal;AGRO3;BB-BI S.A.;4.100;35,18;0,00;;0,00 %
;;;;;;;;;0,00;
06/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;12.800;11,22;11,05;;1,55 %
;;;;;;;;;2.198,84;
07/05/2021;;Venda;Normal;AGRO3;BB-BI S.A.;4.100;34,98;35,18;;-0,55 %
;;;;;;;;;-800,90;
07/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;13.200;10,82;0,00;;0,00 %
;;;;;;;;;0,00;
10/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;8.100;17,53;0,00;;0,00 %
;;;;;;;;;0,00;
10/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;13.200;10,93;10,82;;1,03 %
;;;;;;;;;1.478,23;
11/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;8.100;17,03;17,54;;-2,84 %
;;;;;;;;;-4.039,61;
11/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.600;12,21;0,00;;0,00 %
;;;;;;;;;0,00;
12/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;8.400;16,91;0,00;;0,00 %
;;;;;;;;;0,00;
12/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.600;12,40;12,21;;1,56 %
;;;;;;;;;2.214,72;
13/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;8.400;17,09;16,92;;1,04 %
;;;;;;;;;1.490,69;
13/05/2021;;Compra;Normal;POSI3;BB-BI S.A.;11.700;11,93;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;7.700;17,45;0,00;;0,00 %
;;;;;;;;;0,00;
14/05/2021;;Venda;Normal;POSI3;BB-BI S.A.;11.700;11,44;11,93;;-4,13 %
;;;;;;;;;-5.772,64;
17/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;7.700;17,07;17,46;;-2,21 %
;;;;;;;;;-2.972,35;
17/05/2021;;Compra;Normal;PTBL3;BB-BI S.A.;9.700;13,60;0,00;;0,00 %
;;;;;;;;;0,00;
18/05/2021;;Compra;Normal;BPAN4;BB-BI S.A.;7.000;19,25;0,00;;0,00 %
;;;;;;;;;0,00;
18/05/2021;;Venda;Normal;PTBL3;BB-BI S.A.;9.700;13,88;13,61;;2,05 %
;;;;;;;;;2.713,40;
19/05/2021;;Venda;Normal;BPAN4;BB-BI S.A.;7.000;19,28;19,26;;0,13 %
;;;;;;;;;186,46;
19/05/2021;;Compra;Normal;PTBL3;BB-BI S.A.;9.000;14,95;0,00;;0,00 %
;;;;;;;;;0,00;
